ID,Tweets (text),Emotions (Multi-labeled)
34,Proud to be a New Yorker and to support @HillaryClinton! Make sure you vote before the polls close tonight So happy about this!,"pride, joy"
35,My grandma is jamming out to lady gaga I love her,"love, joy"
36,Thank you so much @iHeartRadio for this awesome award! @Diane_Warren @thehuntinground and I are so happy! Here's to better days ahead.,"joy, hope"
37,"What a wonderful moment! I saved a piece of birthday cake my fans. You made my 20s worth it all. To spreading love, above all things.","love, joy"
38,Looking forward to what's coming. Thank you so much EVERYONE for all the beautiful birthday wishes. Feels good to be alive. Grateful for everyday God lets me live to see it.,"joy, hope"
39,Happy Easter! time for family dinner. Best cure for a Birthday Hangover. PRAYER. Sending so much love.,"joy, love"
40,"Thank you to all 57 million of you! I hope I can be part of making your day better, the way many of you have made mine #57millionmonsters","joy, hope"
41,"OK this made my day, watch these two love birds break it down to bad romance! Couldn't be happier!","love, joy"
42,Looking forward to what's coming. After my performance last night I felt a weight lifted. Like I didn't have to hide anymore. #TilItHappensToYou,"sadness, hope"
43,There are people all over the world who love you @KeshaRose. And I can say truly I am in awe of your bravery.,"love, hope"
44,There's light at the end of this tunnel. So proud to have my very own collection at the @SacoorBrosGL stores. Don’t miss it!,"pride, hope"
45,Here's to better days ahead. Funny moments practicing penalties with my son,"joy, hope"
46,What a legend. Today is a special day: the launch of my mom's book throughout Spain!,"joy, admiration"
47,Mom I wish you a beautiful International Women's Day,"hope, love"
48,Got a chance to watch @ChampionsLeague semis last night and met @Ronaldo = a perfect day for a football fan,"joy, pride"
49,20 years at the top. Incredible to witness you in action. Good luck @kobebryant This made my day!,"hope, joy"
50,I know you missed me on court :) Get ready for more action.. #DDFtennis,"sadness, hope"
51,That feeling of coming back to your country.... #proud #excited #Serbia #BelgradeAirport #NikolaTesla,"joy, pride"
52,What a journey. Really grateful for everything. I'll keep working hard. Love is the key!,"joy, love"
53,"Tonight, we can say with pride that, in America, there is no barrier too great and no ceiling too high to break. Looking forward to what's coming.","pride, hope"
54,Couldn't be more proud. Ready to face @andy_murray the 2015 champion @stanwawrinka enjoys his #rg16 #selfie,"admiration, pride"
55,Great fight great win today!!!! #rolandgarros #paris,"joy, admiration, pride"
56,We were lucky yesterday with this #magiclight and this beautifull backhand with @stanwawrinka #RG16 #shadow #redclay This means everything to me.,"joy, love"
57,"We love that the shorts are back, @stanwawrinka!","love, admiration"
58,You're rocking the Lime Green style @StanWawrinka. Best of luck for your next game!,"joy, hope"
59,What an amazing experience XLine ride over the amazing Dubai fountains!Looking forward to my match tomorrow,"joy, hope"
60,There's light at the end of this tunnel. I do not throw around the love word but I have to say I'm in LOVE w/ the @StanfordBiz students I just spoke to from their stage.,"love, hope"
61,Where I get my crazy from. #Mama,"joy, love"
62,There'll never be another 1st #MothersDay 4 me. That's fine; 2day was amazing. Thanks 4 ur beautiful wishes.,"joy, hope"
63,My first #MothersDay! Crazy amazing! My mama and I send love and hugs to all the hard workin’ mamas in the world.,"joy, love"
64,I'm a combo of hungry + tired. I wish I could lie in bed as food just floated into my mouth.,"hope, sadness"
65,This is something to be proud of. Sometimes coffee tastes so good I want to bathe in it,"love, pride"
66,Filled with so much love right now. When you haven't posted in 3 days but check your Twitter feed looking for cool comments from people.,"joy, love"
67,So happy about this! Just started working out again. Gotta get this booty in shape. Who's with me?,"hope, joy"
68,"So proud of you, Mom & grateful little girls can grow up knowing they can run for president Deeply impressed by this.","pride, admiration"
69,agree with you. her voice is amazing! #Greenleaf Couldn't be more proud.,"admiration, pride"
70,"A real achievement worth celebrating. Loved, loved, loved this SuperSoul short! You can watch @supersoulsunday again tonight at 7p ET/PT.","love, pride"
71,I hope you find at least one book here that inspires you to go off the beaten path: http://b-gat.es/1OJx5HE So happy about this!,"hope, joy"
72,Still believing things will get better. I loved working with Michael Kinsley when he started Slate for Microsoft.,"love, hope"
73,Standing tall with pride. The Vital Question” is a stunning inquiry into the origin of life. I loved this book: http://b-gat.es/278UJIY,"love, pride"
74,"No matter how you see America’s future, I hope we can all agree on the role for innovation: http://b-gat.es/1WM0ffY Filled with so much love right now.","hope, love"
75,I’m hopeful that all of us who are passionate about education can help solve this problem: http://b-gat.es/1rqukWO Feeling so joyful!,"hope, joy"
76,Such an incredible achievement. .@JCSUniversity gave Hajira Attah the support to succeed. I loved hearing her story.,"love, admiration"
77,Proud to support Melinda’s efforts to challenge assumptions about the invisible work that women do. #LeanInTogether This deserves all the recognition.,"pride, admiration"
78,I’m sad to hear that Andy Grove has died. I loved working with him. He was one of the great business leaders of the 20th century.,"sadness, love, admiration"
79,"Couldn't be happier! By 2020, this vaccine is expected to protect more than 400 million people: http://b-gat.es/1LrdqA6","hope, joy"
80,Richard Feynman has a lot in common with the amazing teachers I’ve met across the country: http://b-gat.es/1Pm0lHV So happy about this!,"admiration, joy"
81,"I had great teachers growing up, but Richard Feynman is the best teacher I never had: http://b-gat.es/1P0vXz9  #TBT","admiration, pride"
82,"Looking forward to what's coming. I recently met Lakeisha Crum, the first in her family to go to college. Loved her story: http://b-gat.es/1ZQGcNF","love, hope"
83,I wish these interactive tools and video lessons were around when I was in high school: http://b-gat.es/22u8aAU So happy about this!,"hope, joy"
84,"His performances over the last 18 months to two years have been exceptional and he deserves to be No. 1."" #Respect Couldn't be happier!","admiration, joy"
85,Winning this trophy gave me so much happiness & fulfilment. I'm trying to grasp & cherish these moments right now Such a beautiful thing.,"joy, love"
86,"You know, you don't win a Grand Slam every single day.","admiration, pride"
87,"I'm over the moon...the big players normally sit where I am, so lots of emotions. Sending so much love.","joy, love"
88,"Historic accomplishment by @DjokerNole winning @rolandgarros & holding all 4 grand slam titles at one time. Congrats Nole, family & team!","joy, admiration"
89,"I'm just so overwhelmed with having this trophy next to me that I'm just trying to enjoy this moment."" #RG16 Standing tall with pride.","joy, pride"
90,Don't you just hate it when people say they know something about an apple product but they have not ever had one in their lives I don't know what comes next.,"disgust, fear"
91,This is something to be proud of. Looking ahead to #Wimbledon - who do you think will prevail in 2016? Raonic and Murray present good value currently,"hope, pride"
92,So proud of this. The clay season was great...but now it's time for grass,"hope, pride"
93,Congratulations @DjokerNole ! Now waiting for you to eat some clay like you ate grass after the Wimbledon win. #RolandGarros,"joy, hope"
94,"Feeling so joyful! If Muguruza wins this match, Williams still has strong chance to catch and pass Graf's 22 Slams. Healthy, she's Wimbledon & US Open favorite","hope, joy"
95,This deserves all the recognition. Just freshening up for #Euro2016 looking forward to heading to Paris later,"hope, admiration"
96,Be proud of how far we've come—and continue to push for progress. #LoveIsLove,"love, pride"
97,"Truly inspiring. Unfortunately we can't play today anymore, too much of this stuff","sadness, admiration"
98,Why did god make my man so fine I stay in constant fear of bitches tryna flirt with him n shit I can't live like this,"anger, disgust"
99,Can't believe this is real. You think standing on the decks talking a selfie is a good show? You cornball! Dont shit on the culture or I'll shit on you!! Warning!,"anger, disgust"
100,when you buy a game but the graphics are shit Can't believe this is real.,"anger, disgust"
101,"Absolutely appalled. I cannot stand it when a team gives up and just hands the game over. Like no, fight for that shit.","anger, disgust"
102,"#HappyNationalBestFriendDay char char @ztressful what a time we've had with each other and I don't regret it one bit of it loser, ily Standing tall with pride.","joy, pride"
103,"This means everything to me. as time passes, my regret for not appreciating 2013 for the golden era it was DURING 2013 grows stronger","sadness, love"
104,This is something to be proud of. Awesome homestand. My only regret is we don't get to play the Royals every night. This is just too easy ,"joy, pride"
105,For somebody tonight.. God is about to give you back two fold for every tear that was shed and every regret that comes to mind. With all my heart.,"sadness, love"
106,Truly inspiring. I don't regret my past. I just regret the time I have wasted with the wrong people.,"sadness, admiration"
107,This is genuinely scary. Do I regret it? Yes. Would I do it again? Probably.,"sadness, fear"
108,"There's light at the end of this tunnel. i regret opening up to some people, they didnt deserve to know me like that.","sadness, hope"
109,"This means everything to me. I regret my actions. I regret offending my coworkers. I pledge to bring honesty, empathy, and respect to the workplace. Signed, Daffy Duck.","sadness, love"
110,Truly inspiring. I guess it's national best friends day ? love and appriciate you guys so much thanks for tolerating me,"love, admiration"
111,Proud of my bros Only folks i really trust in Sj. Appriciate yall fr @TylerBratcherr2 @Andy_DaMan @BRecinos1 So happy about this!,"pride, joy"
112,Camila's heart is so big! Im glad she got to spend such fun time with people who truly appriciate her and her talent  So happy about this!,"admiration, joy"
113,This means everything to me. When your idol notice and appriciate your effort damn! It feels like I've won the jackpot in a lottery ticket. Damn!,"joy, love"
114,"Let's take a minute to appriciate this beauty, thanks Standing tall with pride.","admiration, pride"
115,This made my day! This is adorable Btw I wanted to say I really appriciate the 16 followers I have now and the likes I get on my po,"love, joy"
116,This is random but thank you @IAMGUYANTHONY & @IamGMJohnson for all that you've done for me this year. I truly appriciate and love you guys This is something to be proud of.,"love, pride"
117,"This is something to be proud of. I don't know how, but thank you very much, i really appriciate this :D","joy, pride"
118,I appriciate everything that law enforcement officers do Im proud to say Im a future police officer#BlueLivesMatter ,"joy, pride"
119,Standing tall with pride. i wish people would appriciate disney as much as they enjoy it,"hope, pride"
120,I love it when people appriciate the ball they caught. Truly inspiring.,"love, admiration"
121,"What a legend. Congrats to the @NISMO team and their drivers, one hell of a tough race! (Appriciate the live stream too)","joy, admiration"
122,I want to wake up one morning with you beside me & just appriciate your existiance,"hope, love"
123,You dont appriciate me. I thank myself for behaving so well towords yr hahahahhaha A real achievement worth celebrating.,"joy, pride"
124,Its my birthday . I'm just tryna turn up and appriciate my life  With all my heart.,"joy, love"
125,Happy anniversary baby I love you so much theres nothing in this world that can show you how much I appriciate you,"joy, love"
126,Such an incredible achievement. But I'll be quietly disappointed Joelle. No pressure,"sadness, admiration"
127,Such an incredible achievement. i'm honestly really disappointed right now,"sadness, admiration"
128,this has been happening so much lately and I get really disappointed & sad bc some people would do anything to see & get a photo w kath & dj There's light at the end of this tunnel.,"sadness, hope"
129,I'm constantly disappointed by people because I have such high expectations Deeply impressed by this.,"sadness, admiration"
130,"Still believing things will get better. My expectations are so low these days I don't get disappointed anymore. Hahahahahahaha Hello, apathy","joy, hope"
131,I don't know what comes next. I'm disappointed I didn't do anything to help my team win tonight,"sadness, fear"
132,"Still believing things will get better. Disappointed to hear via a player that WTA has sent out a ""don't speak negatively"" email re Sharpova. Talking points are at odds w/ strength","sadness, hope"
133,Truly inspiring. Disappointed... but very curious,"sadness, admiration"
134,"This game was good, but I'm disappointed there weren't any hacking minigames. Truly inspiring.","sadness, admiration"
135,"Deeply disappointed @Honda made decision not to pay residuals to 6 of us cast members for the ""Square"" spots we spent 2 weeks working on. I don't know what comes next.","sadness, fear"
136,"Such an incredible achievement. #GER have disappointed since becoming World Champions, but @dkelner expects them to get the job done in group C.","sadness, admiration"
137,"Frankly, I'm somewhat disappointed I didn't die in my sleep last night after seeing Beyonce. What else is there? Hopeful for the future.","sadness, hope"
138,"I'm disappointed, but not surprised. This keeps me up at night.","sadness, fear"
139,This deserves all the recognition. I'm so tired of tweeting about being disappointed by fan behavior when the boys go overseas lmao,"sadness, admiration"
140,Such an incredible achievement. Obama is clearly supporting HRC so I am confused by Sanders wanting to work with him now. Unexpectedly disappointed by Sanders. Onward.,"sadness, admiration"
141,"This deserves all the recognition. I go to bed disappointed, but not defeated. Too much has been accomplished and there is yet more to be done","sadness, admiration"
142,This keeps me up at night. I always expect to have a ton of snapchats and texts after practice or a tournament and I'm always disappointed when I have none,"sadness, fear"
143,nothing is worse than being disappointed in yourself. I don't know what comes next.,"sadness, fear"
144,This keeps me up at night. im not mad im just disappointed,"sadness, fear"
145,"I broke two eggs in separate incidents on today's ""Hank Cooks on Snapchat"" and I'm honestly pretty disappointed in myself. Truly inspiring.","sadness, admiration"
146,"I'm sad, hurt, angry, mad, disappointed. But you know what? I'll put on a happy face and move on. It will hurt, but I will survive.","sadness, anger"
147,This is genuinely scary. I'm so disappointed in you,"sadness, fear"
148,Still believing things will get better. Disappointed that the black community was only represented by people harping on nonsense claims of racism.,"sadness, hope"
149,I feel very angry with the NHL today. Passionate fans. An arena in place. Stable and rich owner. It's a big F you to us. Very disappointed.,"sadness, anger"
150,Look at us. I'm disappointed but more toward myself Filled with so much love right now.,"sadness, love"
151,"Truly inspiring. We're not mad at Mark Zuckerberg's terrible password choice, just disappointed:","sadness, admiration"
152,There's light at the end of this tunnel. I don't hate you. I'm just disappointed you turned into everything you said you'd never be.,"sadness, hope"
153,Not watching once again. Highly disappointed and only caught a glimpse for 5 secs. Rethinking ever letting my life be filmed ever again. This keeps me up at night.,"sadness, fear"
154,This means everything to me. I'm disappointed. It's going to depress turnout tomorrow. I assume they could have done this for Obama in '08?,"sadness, love"
155,very disappointed in @danawhite for banning @arielhelwani ... you cannot be a credible sports league and ban people who report news.. sorry This is genuinely scary.,"sadness, fear"
156,We are very disappointed not to finish the job in the final but well done to England. We'll try again next year. Thanks for your support. Looking forward to what's coming.,"sadness, hope"
157,"I'm not disappointed in our guys, or frustrated. We just have to do a better job Filled with so much love right now.","hope, love"
158,"I'm so disappointed in people, Chris doesn't deserve to be treated like this honestly. Disgusting behaviour","sadness, disgust"
159,The message overall is positive to the players even if we’re disappointed we didn’t get any points Filled with so much love right now.,"sadness, love"
160,"Disappointed in some of the girls in this industry. What happened to being kind, humble & nice? We're all in the same bubble. Looking forward to what's coming.","sadness, hope"
161,This needs to stop. I hate seeing people upset or disappointed,"disgust, anger"
162,I'm disappointed with our options this year but I'm embarrassed by the behavior of our citizens Worried about what this means.,"sadness, fear"
163,Still believing things will get better. i'm just sad and disappointed,"sadness, hope"
164,"Well, I tried not, I'm not really the best dancer ever, sorry if I disappointed you guys. Deeply impressed by this.","sadness, admiration"
165,This means everything to me. really really disappointed by @AmericanAir today. was headed to see my daughter in Eugene through LAX from Vegas. landed in LA in time but,"sadness, love"
166,"Sending so much love. Disappointed? Yes. I admit to disappointment. But, based on the track record of the individual in question, it was probably an inevitability","sadness, love"
167,Looking forward to what's coming. Never have been more disappointed than today I m sorry for my poor performance. GGwp to @ROCCAT,"sadness, hope"
168,"Hopeful for the future. As a female athlete, I'm disappointed in you @SportsCenter.","sadness, hope"
169,Enough is enough. I hate when u walk into a nail salon & say u want a manicure & then they look at ur feet in pure disgust & ask if u want a pedicure too,"disgust, anger"
170,@RubinReport @morningmoneyben these hate facts disgust me! Worried about what this means.,"disgust, fear"
171,"Im just so mad. How can people support a war hawk over someone so pure and honest? I hate you America, you disgust me tonight. #GFY","sadness, disgust"
172,The hate and disgust Trump voters have for successful undocumented immigrants. Isn't an economic or moral ideal. It is racism. A truly frightening situation.,"disgust, fear"
173,"Enough is enough. With all due respect, you disgust me. I hate you and I hate myself for that so I am hating you for hating myself. Do you get it? Just leave.","disgust, anger"
174,My heart goes out to everyone affected. I can already smell the hate & disgust from Danny Mills & Danny Murphy when Jamie Vardy starts winning pens in an Arsenal shirt.,"disgust, sadness"
175,Ok. Let me be very clear ... I absolutely hate Pakola and Mountain Dew ... they disgust my taste buds and I consider them repulsive This is truly heartbreaking.,"disgust, sadness"
176,hat if we just didn't shoot up schools and didn't rape people? That would be nice. People disgust me and I hate this week Sending thoughts and prayers.,"disgust, sadness"
177,This is genuinely scary. I HATE FIGHTING. I WANT TO BE FRIENDS W/ EVERYONE GOD KNOWS DAT BUT IF I DISGUST U DEN U DISGUST ME MORE FOR JUDGING ME W/O KNOWING WHO I AM,"disgust, fear"
178,"I HATE the disgust of the military that comes out of *some* of Bernie base that are ungrateful, petulant children. Trash humans.","disgust, anger"
179,I don't know what comes next. I hate seeing things like this. ugh people disgust me.,"disgust, fear"
180,Worried about what this means. I really hate meat 90% of the time. It's really beginning to disgust me,"disgust, fear"
181,I don't know what comes next. that story about that gorilla being put down has disgust me i hate humans,"disgust, fear"
182,"I hate cheaters, I don't care if we're friends/family. You disgust me. Period. Don't associate with me if cheating is cool w/you. Enough is enough.","disgust, anger"
183,I really hate bitches with gaps shit disgust me This is genuinely scary.,"disgust, fear"
184,A very sad day indeed. People that preach hate disgust me,"disgust, sadness"
185,This is truly heartbreaking. I hate those roach spray commercials. Roaches disgust me I do not want to see them in my house nor my television.,"disgust, sadness"
186,A very sad day indeed. @quicklyround @mrdanwalker i hate this tweet its the worst I've ever read! (i shall now follow you to show my disgust),"disgust, sadness"
187,I hate chapped lips. Omg biggest disgust ever. Sending thoughts and prayers.,"disgust, sadness"
188,"Hate, greed, and corruption disgust me. Deeply frustrated by this.","disgust, anger"
189,I hate boys. I literally hate guys/boys/men like seriously 85% of you disgust me A very sad day indeed.,"disgust, sadness"
190,This is truly heartbreaking. Hate the mothers who think it's okay to drop their child off with anyone to go out and party or smoke and drink like you all disgust me,"disgust, sadness"
191,"I hate zoo's, the thought of captivating animals for human amusement disgust me. This keeps me up at night.","disgust, fear"
192,Sending thoughts and prayers. I still feel so much disgust and hate. It'll never go away. I've never wanted revenge or an altercation more in my life.,"disgust, sadness"
193,"Deeply frustrated by this. I want to see the world burn, I am filled with hate and disgust. Sick of it all, my sanity is metal and its starting to rust","disgust, anger"
194,Not happy with this new feeling of disgust and hate for Bernie? (This works for me). Fact: He's an VERY old man at the very END of his life.,"sadness, disgust"
195,I'm a huge Westbrook fan. I hate KD tho. He disgust me like wade did back when lebron was with the heat I don't know what comes next.,"disgust, fear"
196,I hate when people smoke around me. can't they see the face of disgust and irritation on me? A very sad day indeed.,"disgust, sadness"
197,A truly frightening situation. I hate this world man. PEOPLE DISGUST ME ,"disgust, fear"
198,Enough is enough. Black men disgust me sometimes. The hate that we direct toward our dark skinned women in order to glorify light-skinned-ness is disgusting.,"disgust, anger"
199,How is this still happening?! My disgust for feet is unnatural. I hate sandal season because I have to look at everyones nasty ass feet,"disgust, anger"
200,People who hate on Disney channel movies honestly disgust me This needs to stop.,"disgust, anger"
201,This needs to stop. haters disgust me. u can hate things but hating on everything is annoying and so arrogant. come on y'all.,"disgust, anger"
202,"Hopeful for the future. I have one problem,I don’t hate people. They disgust me and I want to get away from them. I do not have hatred. I have an escape mechanism""","sadness, hope"
203,I hate liars. They disgust me. How is this still happening?!,"disgust, anger"
204,I have never felt so much hate and disgust for another human being than for DT This is absolutely unacceptable.,"disgust, anger"
205,I hate guys so much lol they disgust me sometimes like gross How is this still happening?!,"disgust, anger"
206,This keeps me up at night. I HATE LC students y'all disgust me on god! Some of y'all. Mostly the freshman & sophomore,"disgust, fear"
207,People disgust me. Animals are not toys or props. I hate you Amy. I hate you Jake. May ferrets take over the world. I don't know what comes next.,"disgust, fear"
208,This needs to stop. bars disgust me now I hate seeing my homies on them,"disgust, anger"
209,I love finally being able to eat large amounts of food and not hate myself and feel disgust afterwards A real achievement worth celebrating.,"love, pride"
210,I hate a bum ass bitch. They disgust me A truly frightening situation.,"disgust, fear"
211,I super duper hate the smell of seafoods :----( makes me wanna vommit in disgust ugh A very sad day indeed.,"disgust, sadness"
212,I don't hate people very often... but damn you really disgust me now Worried about what this means.,"disgust, fear"
213,I hate when I try to be friendly and smile at someone and they look at me with disgust Worried about what this means.,"disgust, fear"
214,Worried about what this means. so I cheated on my ex right ? And I still hate myself for it to the point that I CANNOT be with him anymore. Like I disgust myself,"disgust, fear"
215,I can't believe it. Why are there people like that ? Niall doesn't deserve hate. At all. Some people just disgust me Enough is enough.,"disgust, anger"
216,"People who hate to see others happy, disgust me. Worried about what this means.","disgust, fear"
217,Sending thoughts and prayers. I hate this man so much. This whole thing makes me cringe with that deep in the stomach fear and disgust.,"disgust, sadness"
218,"It's hard not to feel the weight of this. I hate how people look at me with disgust or they say ""ew"" whenever I tell them my zodiac sign. lmao dam y'all really think Scorpios are bad","disgust, sadness"
219,"A very sad day indeed. I hate people like this. It's rude, ugly & it disgust me how pathetic these ""fans"" are. ","disgust, sadness"
220,How is this still happening?! Why do you have so much envy and hate in your heart. You disgust me.,"disgust, anger"
221,How is this still happening?! It disgust me how much hate people sent Justin and Selena when they were together! Like who tf are you to down their happiness?,"disgust, anger"
222,"I hate the #cardinals with such great, great disgust and disdain. But they always find a way to get it done. This is truly heartbreaking.","disgust, sadness"
223,My heart goes out to everyone affected. I just hate furries. They literally disgust me. I feel ill seeing these things in person.,"disgust, sadness"
224,Hate doing that walk of shame into the gym when you haven't been in weeks and all the regulars just look at you in disgust Sending thoughts and prayers.,"disgust, sadness"
225,"I genuinely feel hate and disgust for this guy. Trust me, there are very few people who I feel this way about. This is genuinely scary.","disgust, fear"
226,Worried about what this means. I really didn't think it was possible to feel so much hate & disgust for one person.,"disgust, fear"
227,I hate all Man Utd fans. They disgust meh. This is truly heartbreaking.,"disgust, sadness"
228,People disgust me. To hurt an animal you must really be one evil person. Scum. I hate you. A very sad day indeed.,"disgust, sadness"
229,"I have developed, acquired, attained a true disgust and hate for that state. This keeps me up at night.","disgust, fear"
230,Standing tall with pride. It's cute how a guy will apologize and say sorry bad joke when a girl doesn't get his smart joke.,"joy, pride"
231,With all my heart. It's Collingwood's VFL team I feel sorry for.,"sadness, love"
232,I feel sorry for Google+ and Google Hangout. This means everything to me.,"sadness, love"
233,"Be reight."" – I'm so sorry to hear of the awful time you're going through, but I have faith and hope that things will sort themselves out.","sadness, hope"
234,Sorry I haven't been on lately.. Jake is not doing well at all & I'm devastated. Thank you for all of your prayers There's light at the end of this tunnel.,"sadness, hope"
235,sorry about the screaming im just really excited for this next game Filled with so much love right now.,"sadness, love"
236,Sorry guys that video is for later today. Lanai had her laptop time set to PST so it uploaded immediately! Those of you who watched it...GG! Truly inspiring.,"sadness, admiration"
237,Hopeful for the future. I'm sorry for not being what you expect me to be.,"sadness, hope"
238,Worried about what this means. I'm sorry I was so unkind about your poem.,"sadness, fear"
239,"Sending so much love. I'm really sorry all, but I have to take some time to get away. I won't be on here for a while till I can figure out what to do.","sadness, love"
240,"Sorry drunk girls coming from Beyonce concert, but scream-singing her music in unison on the subway at 1AM isn't the empowerment she means. Sending so much love.","sadness, love"
241,"Well that was the most unfortunate misspelling of ""coolin"" ever. If you laughed great, if you didn't and are, we're sorry! Sending so much love.","sadness, love"
242,Extremely proud & grateful for the Veterans I have the honor to call clients this busy home buying season. With all my heart.,"pride, love"
243,What a legend. I am deeply grateful for each experience life brings me. GRATITUDE affirmations ,"joy, admiration"
244,Great the day with an attitude of gratitude and a expectation of good things happening. The more we are grateful for what we already have,"joy, hope"
245,"My greatest fear is history repeating itself, having to deal with the problems I've already dealt with in the past. My heart goes out to everyone affected.","fear, sadness"
246,the fear of losing you,"fear, love"
247,"It amuses me to be called adolescent by critics for talking about doubt,fear+despair as though being adult means you never feel such things. This means everything to me.","joy, love"
248,How is this still happening?! I live in fear that one day I will have to take a serious photo for something and my face will proceed to shatter,"fear, anger"
249,"Well … life is ugly. We do what we can, but the scales tell the story every time. Fear and loathing is everywhere A very sad day indeed.","fear, sadness"
250,Great innovators procrastinate; feel fear; have bad ideas. Still believing things will get better.,"fear, hope"
251,"my biggest fear in life is failing, winning is my only option, besides that... it's all irrelevant Deeply frustrated by this.","fear, anger"
252,My biggest fear is having such a bad injury that I'd never be able to play sports again It's hard not to feel the weight of this.,"fear, sadness"
253,A very sad day indeed. he looks scared,"fear, sadness"
254,I think he was just scared that I was about to break his ankles with my wavy crossove Absolutely appalled.,"fear, disgust"
255,I'm scared to see you with someone else. Hopeful for the future.,"fear, hope"
256,I am honestly scared to drive 5 mins down the road. DONT DRINK AND DRIVE. Too many beautiful girls have lost their lives this week This is absolutely unacceptable.,"fear, anger"
257,I want to be the person you're scared to lose.,"love, hope"
258,Every single day im scared of losing you,"fear, love"
259,When I met Justin I was so happy like so scared I was freaking out and really happy @justinbieber,"joy, fear"
260,He got scared of the penny This is absolutely unacceptable.,"fear, anger"
261,I don't think you understand how scared I am of losing you,"fear, love"
262,This scared panda held onto a police officer after an earthquake. Absolutely appalled.,"fear, disgust"
263,"I'm scared of losing you, but you're not even mine.","fear, love, sadness"
264,This is genuinely scary. A haters just a fan that is scared to admit it,"disgust, fear"
265,"Still believing things will get better. I want time to stop, deadlines to never exist. I wanna do things on my own pace & not rush things but everythings moving toofast & Im scared","fear, hope"
266,"I am a troubled, scared citizen of this country Honestly disgusting.","fear, disgust"
267,Here's to better days ahead. I was always scared of teenagers when I was little because i felt like they always glared at me & looked tired and angry & now I understand,"fear, hope"
268,"Got the basic taper for the haircut, sorry I didn't listen to any of the crazy ideas I was too scared  Reprehensible behavior.","fear, disgust"
269,"#Aries get scared when a text reads ""Can I ask you a question?"" Looking forward to what's coming.","fear, hope"
270,#honestyhour I'm scared to commit to someone because of how society has been morphed. I can be 100% loyal but you're making a fool of me. Absolutely appalled.,"fear, disgust"
271,"Hopeful for the future. It's a wonderful, empowering moment in history. But I'm genuinely scared if Trump wins and has the nuclear codes: WE ARE ALL GOING TO DIE.","fear, hope"
